TweetId,Text,Username,Language,Hashtags,Cords,ReplyCount,RetweetCount,LikeCount,QuoteCount,Source,Media,Lat,Lon,Hour,Year,Month,MonthName,MonthDay,DayName,Week,Date,Time
1630595498385063944,"OFFICIAL INEC RESULT NIGER STATE

375,183 APC
284898 PDP
80452 LP
21836 NNPP

#occupy4tinubu",MahmuodBawa,de,['occupy4tinubu'],"Coordinates(longitude=5.9756388, latitude=9.0365604)",0,1,6,0,Twitter for Android,,9.0365604,5.9756388,15,2023,2,February,28,Tuesday,9,2023-02-28,15:47:16
1630595248119242753,"Instead of wahala make INEC announce the three Aspirants as winners Obi Go rule for morning, Atiku for Afternoon, Tinubu for night As Bat man!🙅‍♀️",Abduljjabo,en,,"Coordinates(longitude=4.130073, latitude=11.5671345)",1,0,4,0,Twitter for Android,,11.5671345,4.130073,15,2023,2,February,28,Tuesday,9,2023-02-28,15:46:16
1630595213310808066,Inec and APC are scam,IFEANYI_DAMGOOD,en,,"Coordinates(longitude=6.7419026, latitude=6.0700437)",0,0,0,0,Twitter for Android,,6.0700437,6.7419026,15,2023,2,February,28,Tuesday,9,2023-02-28,15:46:08
1630594670643347458,"@Tbag_46301 @channelstv Every states results has a signed copy each in all the units.They acptd d collation in ward level,all ward levels accepted in LGA,all LGA accepted in d state and dey brought it here in federal level &amp; we Dey accuse INEC,where were all d agents b4 nw?Dey failed u not INEC chairman",RegalJr_hi_sho,en,,"Coordinates(longitude=2.6654364, latitude=6.287653)",1,0,3,0,Twitter for iPhone,,6.287653,2.6654364,15,2023,2,February,28,Tuesday,9,2023-02-28,15:43:59
1630594586828582913,"While the courts are ordinarily the final recourse, what are our chances with people who suspended a sitting Chief Justice of the Supreme Court and basically bought INEC?",Chydee,en,,"Coordinates(longitude=2.7063037, latitude=6.3703877)",1,4,12,0,Twitter for iPhone,,6.3703877,2.7063037,15,2023,2,February,28,Tuesday,9,2023-02-28,15:43:39
1630594472093315074,@woye1 Party Bp God Forbid @inec BP bawo,billyomega2010,en,,"Coordinates(longitude=3.198942, latitude=6.4826762)",0,0,0,0,Twitter for iPhone,,6.4826762,3.198942,15,2023,2,February,28,Tuesday,9,2023-02-28,15:43:11
1630594353495252993,"INEC really shot themselves in the foot with these BVAs and website.

And they say the internet and social media is bad.😂",jayne_amadi,en,,"Coordinates(longitude=3.6025336, latitude=6.4659707)",0,0,1,0,Twitter for iPhone,,6.4659707,3.6025336,15,2023,2,February,28,Tuesday,9,2023-02-28,15:42:43
1630594246532124677,Hembe lembe of INEC,SirBolojay,en,,"Coordinates(longitude=3.198942, latitude=6.4826762)",0,0,0,0,Twitter for Android,,6.4826762,3.198942,15,2023,2,February,28,Tuesday,9,2023-02-28,15:42:18
1630593584863797249,@BashirAhmaad Na so INEC talk am? 🤔🤔🤔,raphdion0303,sl,,"Coordinates(longitude=3.7770114, latitude=7.2991429)",0,0,0,0,Twitter for iPhone,,7.2991429,3.7770114,15,2023,2,February,28,Tuesday,9,2023-02-28,15:39:40
1630593548813758465,It is just Inec we are waiting to strt the celebration 🎉🥳🎉🥳🎉 https://t.co/KViR3zl2Bq,APC_Son,en,,"Coordinates(longitude=3.198942, latitude=6.4826762)",0,0,1,0,Twitter for Android,"[Photo(previewUrl='https://pbs.twimg.com/media/FqEILcvWAAEp4xg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEILcvWAAEp4xg?format=jpg&name=orig', altText=None)]",6.4826762,3.198942,15,2023,2,February,28,Tuesday,9,2023-02-28,15:39:31
